Iter,P.ID,x,v,f(x),pbest,fpbest,gbest,fgbest,r1,r2,Newx
1,0,12.0,28.60757465489678,1971.0,12.0,1971.0,32.0,2491.0,0.5488135039273248,0.7151893663724195,40.60757465489678
1,1,45.0,-14.166962757919318,2400.0,45.0,2400.0,32.0,2491.0,0.6027633760716439,0.5448831829968969,30.83303724208068
1,2,67.0,-45.21258791466593,1476.0,67.0,1476.0,32.0,2491.0,0.4236547993389047,0.6458941130666561,21.78741208533407
1,3,32.0,0.0,2491.0,32.0,2491.0,32.0,2491.0,0.4375872112626925,0.8917730007820798,32.0
1,4,85.0,-40.644800995532435,0.0,85.0,0.0,32.0,2491.0,0.9636627605010293,0.3834415188257777,44.355199004467565
