Gen,ID,Parent1,Parent2,Crossover,Mut_Δx,New_X,fitness(x)
1,0,45,32,38.5,4.7198333501684395,43.21983335016844,2461.3136730961323
1,0,45,32,38.5,4.7198333501684395,43.21983335016844,2461.3136730961323
1,1,45,32,38.5,-1.1535121723375652,37.346487827662436,2499.879946185282
1,0,45,32,38.5,4.7198333501684395,43.21983335016844,2461.3136730961323
1,1,45,32,38.5,-1.1535121723375652,37.346487827662436,2499.879946185282
1,2,45,32,38.5,4.650216522917004,43.150216522917006,2462.1748367212385
1,0,45,32,38.5,4.7198333501684395,43.21983335016844,2461.3136730961323
1,1,45,32,38.5,-1.1535121723375652,37.346487827662436,2499.879946185282
1,2,45,32,38.5,4.650216522917004,43.150216522917006,2462.1748367212385
1,3,45,32,38.5,1.722294160402643,40.22229416040264,2489.616820343835
1,0,45,32,38.5,4.7198333501684395,43.21983335016844,2461.3136730961323
1,1,45,32,38.5,-1.1535121723375652,37.346487827662436,2499.879946185282
1,2,45,32,38.5,4.650216522917004,43.150216522917006,2462.1748367212385
1,3,45,32,38.5,1.722294160402643,40.22229416040264,2489.616820343835
1,4,45,32,38.5,-0.628567537638892,37.871432462361106,2499.240605463543
